token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PKP072	0	c'	c'	linguistic	none	SpaceAfter=No	Begin=3.209	_	_	_	_
0-1	PKP072	0	è	è	linguistic	none	_	_	_	_	_	_
0-2	PKP072	0	una	una	linguistic	none	_	_	_	_	_	_
0-3	PKP072	0	patologia?	patologia	linguistic	none	Intonation=Rising	End=4.359	_	_	_	_
1-0	PKP073	1	sì	sì	linguistic	none	_	Begin=4.476	_	_	_	_
1-1	PKP073	1	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
1-2	PKP073	1	ho	ho	linguistic	none	_	_	_	_	_	_
1-3	PKP073	1	letto	letto	linguistic	none	_	_	_	_	_	_
1-4	PKP073	1	che	che	linguistic	none	_	_	_	_	_	_
1-5	PKP073	1	c'	c'	linguistic	none	SpaceAfter=No	_	_	_	_	_
1-6	PKP073	1	è	è	linguistic	none	_	_	_	_	_	_
1-7	PKP073	1	una	una	linguistic	none	_	_	_	_	_	_
1-8	PKP073	1	patologia	patologia	linguistic	none	_	_	_	_	_	_
1-9	PKP073	1	che	che	linguistic	none	_	_	_	_	_	_
1-10	PKP073	1	fa::	fa	linguistic	none	_	_	1x2	_	_	_
1-11	PKP073	1	che::	che	linguistic	none	_	_	2x2	_	_	_
1-12	PKP073	1	dice	dice	linguistic	none	_	_	_	_	_	_
1-13	PKP073	1	semplicemente	semplicemente	linguistic	none	_	_	_	_	_	_
1-14	PKP073	1	che	che	linguistic	none	_	_	_	_	_	_
1-15	PKP073	1	ci	ci	linguistic	none	_	_	_	_	_	_
1-16	PKP073	1	sono	sono	linguistic	none	_	_	_	_	_	_
1-17	PKP073	1	alcune	alcune	linguistic	none	_	_	_	_	_	_
1-18	PKP073	1	persone	persone	linguistic	none	_	_	_	_	_	_
1-19	PKP073	1	che	che	linguistic	none	_	_	_	_	_	_
1-20	PKP073	1	si	si	linguistic	none	_	_	_	_	_	_
1-21	PKP073	1	soffermano	soffermano	linguistic	none	_	_	_	_	_	_
1-22	PKP073	1	su	su	linguistic	none	_	_	_	_	_	_
1-23	PKP073	1	dei	dei	linguistic	none	_	_	_	_	_	_
1-24	PKP073	1	particolari	particolari	linguistic	none	_	_	_	_	_	_
1-25	PKP073	1	inutili,	inutili	linguistic	none	Intonation=WeaklyRising	End=12.499	_	_	_	_
